feature,VIF
experience_level,1.1762510563977049
employment_type_Full-Time,1.6389678922884274
employment_type_Intern,1.6331058374395522
employment_type_None,2.3144429387760943
employment_type_Part-Time,1.6396066601176917
remote_ratio_50,1.3358554784489087
remote_ratio_100,1.3358750265073331
company_location,1.0002620804885067
years_experience,2.3686500571430416
base_salary,3.896184406692773
bonus,1.0816221571483426
stock_options,1.147036632852108
total_salary,2.267574259327859
salary_in_usd,1.3233084350228834
conversion_rate,2.4018372123885947
bonus_ratio,1.1168401311225737
usd_per_year_experience,1.9546075340964413
exp_salary_interaction,4.629553156006286
